Name,Area,Lon,Lat,PET_FAO_R2,PET_FAO_p_value,PET_FAO_par_P,PET_FAO_par_Ep,PET_FAO_par_CO2,PET_FAO_CO2_contribution,PET_FAO_P_contribution,PET_FAO_Ep_contribution,PET_FAO_Q_change,PET_FAO_obs,PET_FAO_YANG_R2,PET_FAO_YANG_p_value,PET_FAO_YANG_par_P,PET_FAO_YANG_par_Ep,PET_FAO_YANG_par_CO2,PET_FAO_YANG_CO2_contribution,PET_FAO_YANG_P_contribution,PET_FAO_YANG_Ep_contribution,PET_FAO_YANG_Q_change,PET_FAO_YANG_obs,PET_PT_R2,PET_PT_p_value,PET_PT_par_P,PET_PT_par_Ep,PET_PT_par_CO2,PET_PT_CO2_contribution,PET_PT_P_contribution,PET_PT_Ep_contribution,PET_PT_Q_change,PET_PT_obs,PET_HargreavesSamani_R2,PET_HargreavesSamani_p_value,PET_HargreavesSamani_par_P,PET_HargreavesSamani_par_Ep,PET_HargreavesSamani_par_CO2,PET_HargreavesSamani_CO2_contribution,PET_HargreavesSamani_P_contribution,PET_HargreavesSamani_Ep_contribution,PET_HargreavesSamani_Q_change,PET_HargreavesSamani_obs
Canada_08NE114,56,-117.2391663,49.23453903,0.498465129,5.38E-05,0.296239413,-0.573892847,-0.003286835,-0.002576973,0.232260164,-0.449948389,0.784028571,919.0365429,0.49894774,5.30E-05,0.29709263,-0.574109837,-0.003204401,-0.002512342,0.23292911,-0.450118515,0.784028571,919.0365429,0.541963154,1.31E-05,0.386615637,-0.59750425,0.012133347,0.009512891,0.303117706,-0.468460403,0.784028571,919.0365429,0.48791915,7.43E-05,0.419125392,-0.548115631,0.003159792,0.002477367,0.328606283,-0.429738315,0.784028571,919.0365429
Canada_08NF001,416,-116.0460968,50.88703156,0.269291379,0.017014627,0.409586704,-0.194517661,-0.025616873,-0.033818654,0.540724508,-0.256796585,-1.320171048,358.9404692,0.26929604,0.017013011,0.40981789,-0.194435158,-0.025607795,-0.03380667,0.541029713,-0.256687666,-1.320171048,358.9404692,0.302654132,0.008454631,0.383500945,-0.276418034,-0.018631329,-0.024596541,0.506286844,-0.364919085,-1.320171048,358.9404692,0.274908505,0.015166455,0.444546033,-0.195464826,-0.043964561,-0.05804074,0.586876803,-0.258047005,-1.320171048,358.9404692
Canada_08NG002,1518,-115.3658371,49.49362183,0.301805446,0.008610663,0.289047155,-0.362986136,0.101544016,0.127109486,0.361819795,-0.454374198,1.251767363,649.8096601,0.302657452,0.008454026,0.288831461,-0.364264554,0.101934602,0.127598408,0.361549796,-0.45597448,1.251767363,649.8096601,0.335006919,0.004126442,0.253609592,-0.420360317,0.122830704,0.153755467,0.317460211,-0.526193326,1.251767363,649.8096601,0.318315616,0.006004142,0.320330491,-0.375460531,0.09643551,0.120714824,0.400979253,-0.469989239,1.251767363,649.8096601
Canada_08NH006,1571,-116.179718,48.9991684,0.23495476,0.037885478,0.248055062,-0.348795291,-0.012681203,-0.004019165,0.078618274,-0.110546762,-0.316938801,373.566331,0.236019405,0.037143292,0.248242937,-0.350346503,-0.012296383,-0.003897201,0.078677819,-0.111038401,-0.316938801,373.566331,0.325410233,0.006157167,0.2364915,-0.469608837,0.020217924,0.006407845,0.074953333,-0.148837262,-0.316938801,373.566331,0.28119559,0.015500939,0.294462155,-0.401870224,-0.007137238,-0.002262068,0.093326483,-0.127368267,-0.316938801,373.566331
Canada_08NH016,49,-116.5339127,49.20262909,0.165260158,0.118205399,0.243626625,-0.313064766,0.024218952,0.013379629,0.134590209,-0.172950935,-0.552444584,574.8472653,0.165438003,0.117850242,0.244102232,-0.313335895,0.024354027,0.01345425,0.134852956,-0.173100718,-0.552444584,574.8472653,0.231261907,0.036024851,0.260414657,-0.405770521,0.039155693,0.021631351,0.143864667,-0.224165727,-0.552444584,574.8472653,0.195668233,0.069597993,0.309355138,-0.362038094,0.026831406,0.014822865,0.17090157,-0.200005984,-0.552444584,574.8472653
Canada_08NH084,78,-116.4524918,49.15911865,0.155744731,0.138639573,0.158505426,-0.332695353,0.121767544,0.051376162,0.066876609,-0.140370823,0.42192,695.6332923,0.156470132,0.136979198,0.158935584,-0.333774814,0.12195466,0.05145511,0.067058102,-0.14082627,0.42192,695.6332923,0.215324904,0.04862815,0.176334886,-0.413326195,0.136029926,0.057393746,0.074399215,-0.174390588,0.42192,695.6332923,0.206044265,0.057688302,0.231280193,-0.405299552,0.125611465,0.052997989,0.097581739,-0.171003987,0.42192,695.6332923
Canada_08NH115,5,-116.4367523,49.10427094,0.105422398,0.334431445,0.048655113,-0.309546982,-0.045161076,-0.03853143,0.041512543,-0.264105485,0.8532,383.6632659,0.104988098,0.336427401,0.049146947,-0.308769442,-0.045522515,-0.03883981,0.041932175,-0.263442088,0.8532,383.6632659,0.181616331,0.10638444,0.060433664,-0.415477188,-0.033656731,-0.028715923,0.051562002,-0.354485136,0.8532,383.6632659,0.162700909,0.143906044,0.126414958,-0.393181444,-0.096638978,-0.082452376,0.107857243,-0.335462408,0.8532,383.6632659
Canada_08NH120,239,-115.9412918,49.42214966,0.192515655,0.080935036,-0.063704766,-0.468316356,0.121934234,0.127103604,-0.066405513,-0.488170506,-1.04239474,599.8380991,0.193900046,0.079027112,-0.063044309,-0.469651307,0.122147676,0.127326095,-0.065717056,-0.489562052,-1.04239474,599.8380991,0.272207792,0.018544889,-0.064614122,-0.55169179,0.144134199,0.150244731,-0.067353421,-0.57508062,-1.04239474,599.8380991,0.258645177,0.02418144,-0.007095086,-0.522938205,0.121938161,0.127107697,-0.007395881,-0.545108034,-1.04239474,599.8380991
Canada_08NK018,620,-114.8666611,49.89395905,0.38383644,0.001291072,0.496954739,-0.233905286,0.004511684,0.007883754,0.868382951,-0.408728092,1.747408533,400.6901652,0.384061459,0.001283874,0.497367569,-0.234254287,0.004642051,0.008111559,0.869104335,-0.40933794,1.747408533,400.6901652,0.409929174,0.00066478,0.462949903,-0.297027957,0.01926634,0.033666168,0.808962611,-0.519029187,1.747408533,400.6901652,0.399229097,0.000876105,0.529262105,-0.256506746,0.00353732,0.006181143,0.924837118,-0.448222077,1.747408533,400.6901652
Canada_08NK022,137,-114.8333588,49.89149094,0.386049967,0.001221863,0.517739456,-0.187375295,0.078610868,0.124945147,0.822901893,-0.297816755,1.589413139,477.4112934,0.386385843,0.001211668,0.517787156,-0.188274123,0.078819734,0.125277121,0.822977708,-0.299245365,1.589413139,477.4112934,0.41155674,0.000637141,0.479793253,-0.259799566,0.094304527,0.149888854,0.762589701,-0.412928844,1.589413139,477.4112934,0.400657521,0.000844673,0.530989833,-0.219533058,0.078200081,0.124292237,0.843962217,-0.348928728,1.589413139,477.4112934
Canada_08NK026,6,-114.9538879,49.5841713,0.288153016,0.018400093,0.256294253,-0.391687579,-0.055274749,-0.087263036,-0.404615399,-0.618362777,1.578714286,635.3716364,0.289409461,0.017966616,0.255891286,-0.393463454,-0.054803029,-0.086518324,-0.403979229,-0.621166376,1.578714286,635.3716364,0.336439796,0.007084032,0.205089983,-0.468077848,-0.034026791,-0.053718581,-0.323778486,-0.738961185,1.578714286,635.3716364,0.34542273,0.00587822,0.269813716,-0.454694086,-0.065697027,-0.103716835,-0.425958768,-0.717832049,1.578714286,635.3716364
Canada_08NL004,1052,-119.9935226,49.20763016,0.386671545,0.001514971,0.298006203,-0.463983681,0.031753752,0.025786887,0.242007698,-0.376796259,0.812089465,220.214065,0.386957511,0.001504539,0.299937359,-0.463660692,0.031424639,0.025519618,0.243575969,-0.376533963,0.812089465,220.214065,0.417187709,0.000709804,0.3123724,-0.495307144,0.050898453,0.041334097,0.253674335,-0.402233714,0.812089465,220.214065,0.424056911,0.000594861,0.381415556,-0.494955613,0.071567916,0.058119551,0.309743555,-0.401948239,0.812089465,220.214065
Canada_08NL022,9137,-119.617218,48.98471832,0.388259512,0.001457874,0.260451287,-0.529322429,-0.074852518,-0.045135257,-0.157049304,-0.319175689,0.602989165,218.2975519,0.389085905,0.001428955,0.261872854,-0.529953858,-0.075724945,-0.045661322,-0.157906493,-0.319556434,0.602989165,218.2975519,0.388237495,0.001458652,0.277811461,-0.526329458,-0.050093104,-0.030205599,-0.167517301,-0.31737096,0.602989165,218.2975519,0.407066072,0.000917082,0.374362316,-0.542296555,-0.042481436,-0.025615846,-0.22573642,-0.326998947,0.602989165,218.2975519
Canada_08NL024,1777,-120.5185699,49.45771027,0.302068556,0.011938553,0.22309162,-0.471844535,0.011402251,0.006202224,-0.121350086,-0.256658565,0.543947307,362.9771439,0.303532668,0.011591515,0.223567554,-0.473327702,0.011424138,0.006214129,-0.121608969,-0.257465329,0.543947307,362.9771439,0.313490789,0.009465458,0.234539439,-0.483962186,0.023399574,0.012728135,-0.127577096,-0.263249928,0.543947307,362.9771439,0.366760197,0.003010667,0.290826958,-0.542025616,0.070546626,0.038373647,-0.158194541,-0.294833374,0.543947307,362.9771439
Canada_08NL038,5578,-120.1523132,49.37696838,0.351919432,0.004187532,0.236510816,-0.5119412,-0.016972031,-0.010221045,-0.142433614,-0.308305712,0.602228756,270.4070939,0.353593583,0.004036276,0.236966118,-0.513535474,-0.016805684,-0.010120866,-0.14270781,-0.30926583,0.602228756,270.4070939,0.353938195,0.004005772,0.243370788,-0.515015048,-0.003488779,-0.002101043,-0.146564887,-0.310156872,0.602228756,270.4070939,0.408281107,0.001139856,0.307445118,-0.571546121,0.04373569,0.02633889,-0.185152291,-0.344201509,0.602228756,270.4070939
Canada_08NL045,180,-119.8257904,49.25889969,0.530824487,1.90E-05,0.212439129,-0.609849307,0.07476567,0.017736176,-0.05039556,-0.144670605,-0.237223529,113.7578133,0.531543171,1.86E-05,0.214819134,-0.609457168,0.074322701,0.017631094,-0.050960153,-0.14457758,-0.237223529,113.7578133,0.580278203,3.33E-06,0.295102156,-0.623499546,0.110830637,0.026291635,-0.070005175,-0.147908763,-0.237223529,113.7578133,0.480382005,9.32E-05,0.347846984,-0.524540933,0.120280531,0.028533372,-0.082517489,-0.124433452,-0.237223529,113.7578133
Canada_08NL050,388,-120.0687408,49.36418915,0.455193498,0.000462007,0.20411461,-0.576388852,-0.040910833,-0.009941648,-0.049601426,-0.140066942,0.243007722,197.8257964,0.455680338,0.000456269,0.205882015,-0.57619717,-0.041228572,-0.010018861,-0.05003092,-0.140020362,0.243007722,197.8257964,0.490509808,0.000180641,0.239013279,-0.600574532,-0.013711238,-0.003331937,-0.058082073,-0.145944249,0.243007722,197.8257964,0.449903091,0.0005288,0.313160775,-0.554015738,-0.00063048,-0.000153212,-0.076100487,-0.134630103,0.243007722,197.8257964
Canada_08NL071,253,-120.9789124,49.46567917,0.404789619,0.000759545,0.422252718,-0.395787458,-0.080566798,-0.092071818,0.48255083,-0.452306305,-1.142801006,808.3593866,0.405674953,0.000742374,0.422186205,-0.396916998,-0.081006612,-0.092574438,0.48247482,-0.453597144,-1.142801006,808.3593866,0.417294766,0.000547985,0.424818647,-0.411011152,-0.068131948,-0.077861258,0.485483177,-0.469703959,-1.142801006,808.3593866,0.435921138,0.000332145,0.464938171,-0.430587094,-0.032854602,-0.037546272,0.53133181,-0.492075364,-1.142801006,808.3593866
Canada_08NM116,795,-119.4134674,49.87792969,0.519263056,7.98E-05,0.249322701,-0.539352099,-0.147252612,-0.232894833,-0.394328957,-0.853039656,-1.581600697,249.9794289,0.519576378,7.91E-05,0.249436922,-0.539627183,-0.146855706,-0.232267086,-0.39450961,-0.853474729,-1.581600697,249.9794289,0.563059482,2.07E-05,0.30391427,-0.560027778,-0.121515899,-0.192189631,-0.480671022,-0.885740325,-1.581600697,249.9794289,0.456039437,0.000452079,0.363532229,-0.434229024,-0.109831913,-0.17371023,-0.574962827,-0.686776927,-1.581600697,249.9794289
Canada_08NM171,117,-119.3213882,49.24927902,0.468378605,0.000242739,0.159147837,-0.625465179,0.176046038,0.152519787,-0.13787981,-0.541879937,-0.866363077,247.357705,0.466268688,0.000257088,0.16136792,-0.623184856,0.175887039,0.152382036,-0.139803208,-0.539904349,-0.866363077,247.357705,0.482146119,0.000165862,0.26236595,-0.620358213,0.190852983,0.165347978,-0.227304172,-0.53745545,-0.866363077,247.357705,0.357672526,0.003688547,0.312292787,-0.510663984,0.209606128,0.18159501,-0.270558939,-0.44242042,-0.866363077,247.357705
Canada_08NM173,44,-119.8520279,49.79457855,0.480494741,0.000173713,-0.17848053,-0.693252541,-0.04529433,-0.006679982,0.026322206,-0.102240487,0.147479426,52.39611337,0.480847644,0.000172007,-0.176572554,-0.693180558,-0.045190642,-0.00666469,0.026040819,-0.102229871,0.147479426,52.39611337,0.451028805,0.00038651,-0.13726422,-0.668449777,-0.025269118,-0.003726675,0.020243648,-0.098582589,0.147479426,52.39611337,0.44472316,0.00045592,-0.056550578,-0.662496214,-0.00741766,-0.001093952,0.008340047,-0.097704561,0.147479426,52.39611337
Canada_08NM174,113,-119.5386124,50.21221924,0.403774504,0.002637458,0.020175198,-0.625157774,0.039681619,0.005592386,-0.002843319,-0.088104359,-0.140931398,173.3334947,0.402233195,0.002726569,0.022720202,-0.622535372,0.040362083,0.005688285,-0.00320199,-0.08773478,-0.140931398,173.3334947,0.360239843,0.006508586,0.155994962,-0.540915386,0.155237664,0.021877861,-0.021984588,-0.076231962,-0.140931398,173.3334947,0.307472676,0.017773054,0.234121874,-0.447829199,0.112379648,0.015837821,-0.032995123,-0.063113195,-0.140931398,173.3334947
Canada_08NM232,59,-119.0726929,49.99980927,0.316600572,0.006236247,0.071439903,-0.473846122,-0.248246006,-0.28112607,-0.080902084,-0.536606811,-1.132449516,285.4673085,0.317021036,0.006178591,0.071076256,-0.474411288,-0.248078587,-0.280936476,-0.080490271,-0.537246834,-1.132449516,285.4673085,0.354139176,0.002648502,0.093842217,-0.505455511,-0.23166054,-0.262343866,-0.106271574,-0.572402849,-1.132449516,285.4673085,0.270670312,0.016542737,0.114613846,-0.409479795,-0.207028534,-0.234449363,-0.129794395,-0.463715196,-1.132449516,285.4673085
Canada_08NM240,4,-119.400032,49.65089035,0.556801027,5.53E-05,0.267135493,-0.60532715,-0.105631146,-0.560244552,1.416828373,-3.21052313,5.303781818,488.8679226,0.556903942,5.51E-05,0.26879422,-0.604971336,-0.105269283,-0.558325312,1.425625899,-3.208635974,5.303781818,488.8679226,0.625030594,6.10E-06,0.294303766,-0.659426003,-0.054926174,-0.291316443,1.560922963,-3.497451647,5.303781818,488.8679226,0.529908228,0.000119869,0.428506041,-0.559132399,-0.080586318,-0.427412246,2.27270255,-2.965516253,5.303781818,488.8679226
Canada_08NN013,5654,-118.7652817,48.98139191,0.545700795,3.59E-05,0.341388022,-0.531813663,-0.050210004,-0.02922695,-0.198719972,-0.309565624,-0.582094154,257.1078116,0.545566934,3.61E-05,0.343180273,-0.531043906,-0.050088595,-0.029156279,-0.199763231,-0.309117553,-0.582094154,257.1078116,0.611539508,3.90E-06,0.397419686,-0.575751687,-0.038490269,-0.02240496,-0.231335676,-0.335141691,-0.582094154,257.1078116,0.473045095,0.000289835,0.474795164,-0.423297898,-0.025540774,-0.014867135,-0.276375489,-0.246399232,-0.582094154,257.1078116
Canada_08NN015,233,-119.0924683,49.70291901,0.638824968,8.45E-07,0.338318739,-0.554421194,-0.153274991,-0.261820313,-0.577907184,-0.94704772,-1.708173734,477.1505111,0.639137896,8.35E-07,0.338677798,-0.554580057,-0.152964394,-0.261289761,-0.578520519,-0.947319086,-1.708173734,477.1505111,0.688833127,9.36E-08,0.375523309,-0.584891975,-0.141391327,-0.241520951,-0.641459053,-0.999097108,-1.708173734,477.1505111,0.594243634,4.69E-06,0.448278401,-0.476620521,-0.111902328,-0.191148618,-0.765737391,-0.814150655,-1.708173734,477.1505111
Canada_08NN019,144,-119.0519638,49.56536865,0.559753483,1.55E-05,0.205504628,-0.623618021,-0.103780113,-0.272006733,-0.538625762,-1.634497165,-2.620990909,313.4597294,0.559725798,1.55E-05,0.206336021,-0.623304483,-0.103473848,-0.271204016,-0.540804834,-1.633675384,-2.620990909,313.4597294,0.632528523,1.09E-06,0.244977639,-0.668208523,-0.086657793,-0.227129289,-0.642084164,-1.751368464,-2.620990909,313.4597294,0.45829891,0.000318679,0.340496972,-0.49559503,-0.065957157,-0.172873109,-0.892439469,-1.298950067,-2.620990909,313.4597294
Canada_09AA006,6860,-133.8144226,59.5953598,0.399605118,0.002884879,0.259437863,0.59543111,-0.00513482,-0.012293182,0.621115639,1.425511179,2.394082466,480.1633887,0.400621001,0.002822715,0.257917984,0.596682617,-0.003362569,-0.008050268,0.617476924,1.428507392,2.394082466,480.1633887,0.369748553,0.005375646,0.201399519,0.560341424,-0.030700071,-0.073498501,0.482167057,1.341503577,2.394082466,480.1633887,0.420350718,0.001833679,0.056090058,0.628714068,-0.010704771,-0.025628104,0.134284225,1.505193327,2.394082466,480.1633887
