,Amazon River,Congo River,Mississippi River,Yenisey,Ob,Parana Rio,Yangtze River,Mackenzie River,Nelson River,River Murray,Lena,Orange River,Yukon River,Yellow River,Tocantins Rio,Niger River,Niagara River,Sao Francisco,Colorado Rio,Columbia River,Songhuajiang,Arkansas River,Saskatchewan River,Zhujiang,Parnaiba Rio,Snake River,Okavango River,Cooper Creek,Colorado Rio,Fraser River,Olenek,Kura River,Rhine River,Elbe River,Danube River,Red River,Huaihe,Liaohe,Diamantina River,Albany River,Brazos River,Oder River,Colorado River,Hayes River
1981,464.9261477507232,196.32045513380726,188.23378202978813,127.3423277525571,88.40418386104123,149.1092000473006,268.4711782711208,144.69901679730208,199.08887643101656,10.851842206609977,80.25114081074554,9.944154587433319,98.09166913064131,32.57815736022749,351.132582799738,47.53017315237581,191.4017534121407,134.3673411092424,65.17569150767666,257.7425639666441,32.70947361622739,87.62193087350441,196.77579353418656,1374.222520791615,30.52685389145224,170.48073387916324,22.64124633919886,6.327141961053362,58.99179400166252,286.2331519315627,62.09514532706076,122.8794297301968,223.38278723828162,120.34959389098854,271.54712618606925,64.24831847691759,191.781019014163,16.19316752168966,4.201721164816845,324.91527262664965,11.96435248707509,107.95009529765618,9.836302455402386,231.80265853072729
1982,455.7929635712706,141.28390667785516,278.88674945730475,165.6521578484142,124.9942441060969,148.7403282964019,181.7383771817553,148.9553308925623,207.549458247497,5.394560358325213,95.49857123160315,6.131811520455856,106.17347577419955,31.12874269826294,397.364082627193,47.28467146123076,227.45212955376383,131.3265412411838,37.72528507060649,274.0720007004856,51.17740621665988,175.23957112699415,212.1382078557743,1331.391409902548,35.45486959585769,152.90630919291314,17.943526100386993,4.285127795537912,54.33290642631894,299.7869123235969,79.84942110542855,113.936208789328,224.5588206556232,94.8587568042945,269.20910505980095,193.70699581018812,67.32959762228575,17.2857850017613,2.05150654257741,367.17712613619193,67.66135361250048,89.81868968256103,55.37166103965473,255.59723058325716
1983,466.2934468140035,161.20316587680708,263.81863037449136,149.6254425703954,128.519275269537,137.781840358506,348.6299723603171,162.85814053481602,192.724703193764,11.958144790070211,77.69515657023027,5.3603493111745735,98.549641488936,35.87218013668107,312.0581213553783,57.60014061827156,207.47855134224125,106.9124724468299,63.911965824039726,253.46548599148565,42.93574039182719,155.36709341445376,192.17572896719972,1943.246282250579,27.83550652336124,143.28794710525486,17.039099703133136,4.83480390314566,40.75050249003054,336.2927435228888,65.5521526091257,109.5523082202703,213.50687082856604,130.56366877754903,340.0602771396028,92.85609781652889,138.2150914156569,20.22118186927424,3.3778983997245193,359.7390670171601,85.0753229083428,134.39598186049696,82.41686878058869,256.1412899316823
1984,523.3496113727658,178.5181035656328,230.94732294591506,152.7872998936991,123.8730985611145,114.8842678653338,242.1599453909531,143.7546343767528,225.52843941512242,10.045712470030999,96.83589243488946,7.7811891339142,84.91711227901084,32.36632509440609,324.6251252292699,66.16689429193144,227.33994672122049,100.4449380574011,47.30375023046542,288.29570986947283,56.94470636261158,147.59836897357923,194.1980123676425,1265.23656609834,27.36036128636138,210.99870278633267,32.217019379002956,9.665122214316765,65.45934925108988,311.6668721422304,56.536946555108,90.15538973290347,226.43293006248464,115.09136563385863,291.5076486303244,72.33903927918661,85.32105255329908,17.16073186653281,10.278655788684315,367.0247609629273,25.651504073959373,95.11058927836964,35.46231106846075,265.6867108474333
1985,414.4360430779358,160.22929419397352,305.49862552877426,150.6485156825998,96.9397367512271,168.7522937996959,315.3147114139604,130.6008438444805,175.60089358750037,29.7213686225159,92.66804529787814,7.472689360991765,105.6869410302501,35.02872586483939,348.529797430472,74.63901241956039,218.8121969014941,115.9269796888563,117.00273661656075,209.9912457235651,50.87070960461722,179.80649426514276,136.76973731186519,1253.113368848391,30.46762935088689,125.63148940129237,18.65758414900464,11.62237569422394,74.69715017360554,251.4549703508472,72.57465383727107,132.926082961572,216.75929585813458,106.40043567596894,336.38667359795807,187.6497463013671,121.8899958978187,20.7701720098781,1.4620859915616446,356.48745174391115,119.46167611140848,103.4243332501616,46.593312488577084,248.14589434748507
1986,441.820589029136,204.88986094178233,287.67451537058065,164.1393369950837,109.737840163482,114.4328046011466,312.7627498933122,139.22467182782736,176.76194560668182,17.120433921028155,100.4783314355567,11.371875096585633,103.69288452378919,32.72127206984688,360.1336897400085,79.33011554705206,246.85364019502163,139.2577332935712,114.69583253594989,244.8448956777989,45.38332686336336,180.38205132486212,141.84707840426051,1600.646170304483,36.82566732598052,193.9652216535186,23.272363456929565,42.61195937840452,55.27039104456289,289.435569274142,58.35444843355753,88.82982598375935,246.2904069022237,140.2607362124112,349.5846844784369,155.50157844654362,186.7671724690123,17.2472954015394,28.603785061255564,347.1818292105253,49.22265343494746,116.08399633584078,52.640171420454614,251.73531811477636
1987,428.4515772711383,124.86662426180658,265.6531098392886,148.9394950454505,88.6980064250665,115.0988670454731,316.2402034069976,147.75337602437725,205.66942948345059,11.116392001339197,87.42608480363442,9.801607852912356,96.02170104512875,35.12092337240727,345.5687622457053,62.44237728952288,215.5438705953901,120.3185560036372,102.84370589102168,300.3841652075422,45.23716232788438,125.24098768538525,191.3395505555228,1469.984409146603,33.41662288169348,168.09966821516082,22.766158220668288,7.530359803492063,56.25356531121032,345.35827906738416,65.09675314259188,115.5870371503907,191.5877943322899,144.21641632690682,335.26143021898844,111.69961982311526,143.226389377538,13.3409718090302,8.495759539885867,357.03156208871286,104.71733086687638,135.02082613830936,84.72288267818556,264.5886027428181
1988,437.8140887660579,153.0140542407911,263.45539322858093,150.9329444922641,110.4253390257914,133.8396699449081,307.8706994193565,145.9811305929764,177.23235777000784,12.514773085891836,79.53562296012305,11.94527130692192,89.64227993539787,30.53619271226129,340.4808396147102,79.70292513352435,200.07063795706358,114.3482414765314,76.54559089906338,214.8558845691282,53.28171287986848,232.0693376176484,172.56039005224392,1188.437175541457,28.09017031398955,109.63614429765403,33.12259563381426,11.146071604555761,36.62178370087975,345.99515290754925,65.3083030187792,114.6903708784605,192.82644590731667,100.80677048748724,222.07735511082677,216.6403590979088,156.986331796799,24.0239412676868,6.976270746388166,345.4431547484054,74.00220182086046,103.39798201546364,42.60773976401836,246.8828070287305
1989,542.9326852009721,184.78073794675853,272.1882872058676,133.9744321574761,127.6438815564764,105.8397143371217,357.7126457078833,149.56110465348877,199.12550160361775,12.833710003212454,65.73802613442857,17.182680461009895,86.51655178494559,31.87368253675956,320.9455980111971,61.020484010335764,217.04363495219076,106.2688579743326,106.94630961613316,278.39063668398603,38.91873620099314,112.95195210370932,185.48419503883628,1393.380174868346,26.76084243147848,181.9747252899166,54.42528671309994,4.576958026253159,37.7658779906764,300.97385339116624,47.57692369953333,112.0075404351461,201.23001601075453,124.8105609875651,296.28312689500376,33.23214129679273,194.4507042495497,26.48268881162255,2.4897328122104927,351.12152991356766,19.102973726450355,111.95744245473539,9.565656843191388,261.5217164034927
1990,408.7241912154975,196.49414370166392,199.4514621738187,139.3166766448238,97.99589010263253,99.4119273643745,291.4781526167795,128.10393564952685,137.9602237971515,10.15071589690355,92.2436588165548,11.613167918919732,93.95391237198353,33.82388514341849,350.3102260157755,60.50784894603018,175.28437995244855,130.1597789653958,70.31495571529904,277.73312051231426,66.5870924191088,78.1327515862874,117.57301238332634,616.683712004678,48.19307098302965,187.47892471215408,22.623365046401503,9.997261669902647,42.52242811870482,314.0570610681167,52.10482004812081,82.44458295370184,390.7455547889391,177.83604854219004,490.7954370985219,19.313200541823445,159.6505128219263,19.25438782692537,7.920925899948594,341.2556269741234,13.133342939400455,139.63922041961274,5.167481208595866,239.77582698991398
